ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
ABBV,2020-02-25,4.3,no_clear_catalyst,low,low-medium,"No stock-specific catalyst. Broad market/COVID selloff","Pending $63B Allergan acquisition overhang made ABBV less defensive than pure pharma peers",no,,,"AbbVie appears to have been mostly caught in the second straight day of COVID panic rather than hit by new company-specific news. With global growth fears intensifying investors sold even relatively defensive names while AbbVie also carried the extra complexity of its pending Allergan transaction."
CMCSA,2020-02-25,3.2,no_clear_catalyst,low,medium-low,"No stock-specific catalyst. COVID exposure for media/entertainment assets (NBCUniversal)","General market deleveraging and worries about ad demand and consumer activity",no,,,"Comcast's drop looks more like a business mix reaction than a discrete company event. As the market started to price in disruptions to travel public venues advertising and consumer spending investors marked down diversified media names with theme-park and content-adjacent exposure."
COF,2020-02-25,5.6,macro_sensitivity,medium,medium,"Sector-driven financial selloff tied to falling yields and consumer credit fears","Capital One's heavier consumer-credit profile made it more vulnerable. 10yr yield collapsed to ~1.31-1.33%",no,,,"The 5.6% decline is too large to ignore but no contemporaneous Capital One headline cleanly explains it. COF was hit as a consumer-credit-sensitive financial during a session when the 10-year Treasury yield collapsed and investors abruptly repriced recession and credit-loss risk."
COP,2020-02-25,4.5,macro_sensitivity,medium,high,"Crude-price decline driven by COVID demand fears","General equity risk-off selling. OPEC had already lowered 2020 demand outlook",no,,,"COP's decline lines up with the broader energy washout as investors began to price a meaningful hit to global fuel demand from virus spread beyond China. With oil sliding and recession fears mounting E&P names were sold hard."
CVS,2020-02-25,5.3,no_clear_catalyst,low,medium-low,"No stock-specific catalyst. Managed-care/PBM/retail-health complexity in broad COVID selloff","Uncertainty around healthcare utilization retail pharmacy traffic and insurance/PBM complex",no,,,"CVS's 5.3% drop looks outsized versus a pure defensive healthcare read but no clear company-specific trigger found. The best explanation is broad market stress plus uncertainty around how a spreading outbreak would affect healthcare utilization retail pharmacy traffic and the insurance/PBM complex."
CVX,2020-02-25,3.2,macro_sensitivity,low,high,"Oil-price decline from worsening COVID demand fears","Venezuela policy uncertainty and general energy-sector de-risking",no,,,"Chevron's move was smaller than many energy names but the catalyst set is clear. Falling crude fears of lower transportation/industrial fuel demand and a broader cyclical stock selloff. The Venezuela-license story may have added noise but the commodity tape was the primary force."
DE,2020-02-25,3.3,guidance_cut,low,high,"Earnings-related comedown from Deere's own warning that COVID would hurt Q2 sales/earnings","Broad cyclical/industrial selloff. Stock had surged 9.7% to ATH on Feb 21 then gave back",yes,,below_consensus,"Deere's Feb 25 drop looks like a delayed digestion of its Feb 21 earnings release. Even though the quarter surprised positively and the stock jumped to an all-time high management explicitly warned that coronavirus would pressure second-quarter sales and profits."
DIS,2020-02-25,3.2,macro_sensitivity,medium,high,"COVID-driven concern about Disney's parks/travel/consumer-experience exposure","Bob Iger step-down announced AFTER close so not cause of day-session drop",no,,,"Disney was one of the clearest COVID exposure names in the Dow because the market could immediately connect the outbreak to theme parks tourism cruise-related activity and moviegoing. The Iger-to-Chapek transition mattered but that news broke after market close."
DUK,2020-02-25,3.1,no_clear_catalyst,low,low-medium,"No stock-specific catalyst. Broad equity liquidation even hitting utilities","Unusually indiscriminate selling across sectors",no,,,"Duke's decline appears to be mostly tape-driven. Even though falling Treasury yields often support regulated utilities Feb 24-25 featured unusually indiscriminate selling and portfolio de-risking across sectors."
EMR,2020-02-25,3.2,no_clear_catalyst,low,medium-low,"No stock-specific catalyst. Industrial/cyclical selloff on virus growth fears","Global manufacturing and energy/customer-spending worries",no,,,"Emerson's decline looks consistent with a macro repricing of industrial demand rather than a discrete company announcement. Once investors began to price factory disruption slower capital projects and weaker global activity diversified industrials were sold."
FDX,2020-02-25,3.3,macro_sensitivity,low,medium,"No stock-specific catalyst. Global trade/shipping exposure to COVID shock","General industrial/transport selloff",no,,,"FedEx sold off as investors started pricing weaker global shipping demand and rising operational disruption from the outbreak. No company-specific 3-day catalyst stronger than that macro logic."
GD,2020-02-25,3.2,no_clear_catalyst,low,low-medium,"No stock-specific catalyst. Broad market/cyclical selloff","Aviation and business-jet sensitivity",no,,,"General Dynamics appears to have been caught in the general de-risking of industrial and aerospace names. No clean stock-specific development found in the Feb 22-25 window."
GE,2020-02-25,4.2,macro_sensitivity,medium,medium,"No specific GE headline. Aviation-heavy profit mix made it natural COVID casualty","Broad industrial selloff and balance-sheet sensitivity. Later confirmed GE Aviation most damaged by pandemic",no,,,"GE's decline was probably more about what investors feared than what the company announced. With air travel and aircraft production suddenly looking vulnerable GE's aviation-heavy profit mix made it a natural casualty of the COVID shock."
HD,2020-02-25,3.6,no_clear_catalyst,low,high,"Broad market overwhelmed a good earnings report. EPS $2.28 vs $2.10 expected. Dividend raised 10%","Was up 2.5% premarket on the beat but finished down 3.6%",yes,beat,,"Home Depot beat on profit and sales metrics and raised its dividend but the macro tape was so bad that a stock trading higher premarket finished the day down 3.6%. The session was driven by marketwide liquidation rather than disappointment with the report itself."
LRCX,2020-02-25,3.2,no_clear_catalyst,low,medium,"No stock-specific catalyst. Semiconductor supply-chain/capex fears","General tech selloff and China exposure",no,,,"Lam's drop looks sector-driven rather than company-driven. As the market started to price a broader electronics and semiconductor supply-chain disruption out of China equipment names were sold on the assumption that wafer-fab spending could be delayed."
MET,2020-02-25,4.2,macro_sensitivity,medium,high,"Rate-sensitive insurance selloff driven by record-low yields. 10yr ~1.31-1.33%","Broad equity risk-off and economic-growth fears",no,,,"MetLife's move is best explained by the rates shock. When long-term yields plunge life insurers like MET typically get hit because lower reinvestment yields pressure future profitability and that pressure was amplified by the broader COVID panic."
MO,2020-02-25,3.3,no_clear_catalyst,low,medium-low,"Probably broad selloff. Juul halted Indonesia sales (Reuters Feb 24) as minor secondary","Ongoing skepticism around Juul's international/regulatory trajectory",no,,,"The Indonesia Juul story alone does not explain a 3.3% move in Altria. The bigger driver still looks like the broad market's second day of COVID panic with the Juul headline acting as background overhang rather than a standalone catalyst."
