ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
SPG,2020-05-01,5.3,demand_weakness,high,medium,Mall-REIT stress tied to closures tenant bankruptcies and rent-collection uncertainty with Simon reopening only 49 malls starting May 1-2,Reopening execution risk exposure to weaker apparel tenants and broad reopening trade skepticism,yes,,,Investors were discounting SPG for a severe cash-flow shock with Simon later disclosing $8.7B liquidity but the market far more worried about unpaid rent and whether shoppers would return.
SBUX,2020-05-01,3.8,earnings_miss,medium,high,COVID demand shock telegraphed by Starbucks Apr 8 preliminary warning of fiscal Q2 EPS around $0.28 down from $0.53 a year earlier,Store-closure uncertainty weak mobility data and concern reopening would be gradual rather than V-shaped,yes,miss,,Starbucks told investors U.S. comps began falling March 12 and worsened through quarter-end with over 2000 China stores closed earlier in the quarter.
SCHW,2020-05-01,3.4,macro_sensitivity,medium,medium-low,Continued repricing of rate-sensitive brokerage earnings under ultra-low rates with no fresh Apr 28-30 event found,Banking-sector weakness recession fears and concern zero rates would squeeze client-cash economics,no,,,Schwab was caught in the earnings-model problem hitting financials broadly with near-zero rates compressing spread income even when client activity was strong.
SO,2020-05-01,4.1,earnings_miss,medium,medium-high,Southern Q1 on Apr 30 showed GAAP EPS falling to $0.82 from $2.01 a year earlier driven by absence of prior-year asset-sale gains,General utility de-risking and worries about financing heavy capex programs such as Vogtle,yes,miss,,Southern's reported earnings of $868M or $0.82/share versus $2.08B or $2.01/share a year earlier drove the decline even though adjusted EPS actually rose to $0.78 from $0.70.
GS,2020-05-01,3.4,macro_sensitivity,medium,medium-low,Ongoing repricing of bank credit risk and capital-markets cyclicality with no clean fresh Apr 28-May 1 headline found,Recession fears credit-loss provisioning across banks and continued skepticism toward financials,no,,,Goldman's Apr 15 earnings with EPS of $3.11 and sharply higher credit provisions remained the dominant overhang with no new catalyst verified.
TSLA,2020-05-01,10.3,management_governance,high,high,Elon Musk tweeted Tesla stock price is too high imo on May 1 causing Reuters to report about 9% decline erasing roughly $13 billion in market value,Musk's same-day stream of erratic tweets and fresh concern over SEC/communications risk,yes,,,One of the cleanest names on the list with Tesla hit immediately and directly after Musk's tweet.
TXN,2020-05-01,5.5,guidance_cut,medium,high,Texas Instruments Apr 21 Q1 results guided Q2 revenue to $2.94B-$3.46B and EPS to $0.78-$1.08 signaling major demand uncertainty,Cyclicality in industrial analog chips and macro fears about factory shutdowns,yes,,down,TI's Q1 print was decent but the market cared more about the soft Q2 framework and management's caution on auto and industrial end-market visibility.
UBER,2020-05-01,6.2,demand_weakness,high,medium,Collapse in ride-hailing demand with rides down 60-70% in some cities and withdrawn 2020 outlook plus $1.9-2.2B expected write-downs,Uncertainty around profitability and fear that Eats growth would not fully offset Mobility,yes,,,Uber was still trading as a collapse-in-mobility story with the decline reflecting continued concern after pulled forecasts and material write-downs.
USB,2020-05-01,4.3,macro_sensitivity,medium,medium-low,Regional-bank credit-loss and zero-rate pressure with no decisive fresh USB-only headline found and U.S. bank profits down 69.6% YoY,Consumer credit exposure recession expectations and broad financial-sector weakness,no,,,USB looked more like a bank-complex move than a unique single-name event with continued repricing of loan-loss risk in near-zero-rate environment.
WFC,2020-05-01,5.0,macro_sensitivity,medium,medium,Ongoing concern about Wells Fargo's earnings power reserve needs and regulatory overhang including the still-active Fed asset cap,Dividend-cut fears low-rate pressure and general bank selloff,no,,,WFC was one of the weakest large-bank stories combining recession-driven credit losses with an already constrained franchise under regulatory restrictions.
