ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
GS,2020-04-30,3.5,earnings_miss,medium,medium,Lingering digestion of weak Q1 earnings with EPS down to $3.11 and profit nearly halved from loan-loss provisioning,Continued pressure on financials from recession fears and worsening macro data,yes,miss,,Goldman's Q1 confirmed earnings overwhelmed by loan-loss provisioning with profit roughly halved year over year making GS trade as a credit-cycle bank rather than a pure trading winner.
GD,2020-04-30,4.4,earnings_miss,medium,high,General Dynamics Q1 on April 29 showed revenue $8.75B EPS $2.43 with COVID travel restrictions delaying Gulfstream aircraft deliveries,Broader cyclical-industrial weakness into month-end,yes,miss,,GD's defense businesses were stable but the market focused on weaker aerospace with revenue down 5.5% and operating earnings down 7.2% driven by delayed aircraft deliveries.
EMR,2020-04-30,3.5,demand_weakness,medium,medium-low,Follow-through from weak industrial outlook after April 21 fiscal Q2 earnings centered on pandemic disruption and weaker industrial demand,Late-April macro deterioration and pressure on capital-goods names,yes,,,EMR was still trading off its April 21 results and cautious pandemic commentary with cyclical industrial names vulnerable to ongoing negative sentiment.
DIS,2020-04-30,3.7,demand_weakness,medium,medium,Persistent pandemic damage to parks/media economics overpowering Disney+ enthusiasm with parks cruise film and sports businesses heavily impaired,General risk-off sentiment around reopening uncertainty,yes,,,Disney was being valued as a shut-park disrupted-sports delayed-film company with Disney+ not yet enough to offset the legacy profit engine damage.
COF,2020-04-30,7.2,earnings_miss,high,high,Capital One Q1 on April 23 showed a net loss of $1.3 billion or negative $3.10/share driven by a huge credit reserve build,Continued fear around card/lower-quality consumer exposure as recession risk deepened,yes,miss,,COF was heavily tied to consumer credit with the quarter showing a $1.3 billion net loss and negative $3.10 EPS reflecting severe reserve building for expected delinquencies.
CMCSA,2020-04-30,3.5,earnings_miss,medium,high,Comcast Q1 on April 30 showed NBCUniversal revenue down 7% to $7.73B with filmed entertainment down 22.5% and theme parks down 31.9%,Investor concern over Peacock spending and ad-market softness,yes,miss,,Cable broadband was strong but the market focused on the NBCUniversal earnings hole with filmed entertainment revenue down 22.5% and theme parks revenue down 31.9%.
CAT,2020-04-30,3.1,earnings_miss,high,high,Caterpillar Q1 on April 28 showed sales and revenue down 21% and profit per share down 39% with dealer inventory builds collapsing,Ongoing concern about global construction/mining demand during lockdowns,yes,miss,,CAT's quarter confirmed a hard stop in industrial demand with a 21% revenue drop 39% EPS decline and dealers increasing inventories only $100M versus $1.3B a year earlier.
C,2020-04-30,3.4,earnings_miss,high,high,Citi Q1 on April 15 included a $4.9 billion increase in credit reserves tied to COVID's weaker economic outlook,Continued sector pressure on money-center banks as investors priced a long credit downturn,yes,miss,,Pandemic credit losses were overwhelming normal earnings power with a $4.9 billion reserve build keeping pressure on the stock even weeks after the initial report.
AXP,2020-04-30,5.1,earnings_miss,high,high,American Express Q1 on April 24 showed profit sinking 76% with plans to cut spending by nearly $3 billion in 2020,Travel and entertainment exposure made AXP more vulnerable than generic card issuers,yes,miss,,AXP was hit by both credit concerns and a direct collapse in travel-and-entertainment spending with profit down 76% and $3 billion of planned spending cuts.
AMAT,2020-04-30,8.6,macro_sensitivity,high,medium,Negative peer read-through from Lam Research's April 22 revenue miss pressuring semiconductor equipment sentiment,Broader risk-off move in semis into month-end,no,,,The 8.6% drop is best explained by sector contagion from Lam's weaker report and investor fear that semiconductor equipment demand would soften as fabs delayed spending.
GM,2020-04-30,6.3,demand_weakness,high,medium,Pandemic production shutdown and cash-burn fears with 2020 guidance already withdrawn and liquidity drawn down,U.S. recession risk and uncertainty around auto demand recovery,yes,,,GM's core issue was survival math with roughly two months of lost production and ongoing cash burn driving the 6.3% drop without needing a fresh negative headline.
NOW,2020-05-01,3.4,no_clear_catalyst,low,medium,Post-earnings profit-taking after strong Q1 showing subscription revenue $995M up 34% with 37 deals over $1M in net new ACV,Risk-off on May 1 after Trump's China-tariff threats,yes,,,NOW's results were objectively good but the 3.4% decline looks like a good-quarter-not-enough reaction amplified by the broader May 1 risk-off tape.
