ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
LOW,2020-04-15,4.8,macro_sensitivity,medium,medium-low,Macro/retail recession repricing rather than a Lowe's-specific event. No clear Lowe's-specific negative headline in the prior 3 days,General de-risking in cyclical retail and concern that store traffic and big-ticket discretionary purchases would weaken sharply during lockdowns,no,,,No discrete Lowe's corporate headline convincingly explains a 4.8% one-day move. The best explanation is that investors were discounting a severe COVID shutdown hit to U.S. consumer spending and upcoming earnings.
LRCX,2020-04-15,3.6,macro_sensitivity,medium,medium-low,Cyclical semiconductor equipment de-rating on worsening global demand expectations. No Lam-specific Reuters negative in the 3-day window,General tech profit-taking after the sharp rebound from March lows and concern over memory/fab spending if the recession deepened,no,,,No strong company-specific Lam catalyst visible in the window so the most likely explanation is a sector move tied to fears that the COVID shock would hit wafer-fab equipment demand and customer capex.
MA,2020-04-15,5.0,demand_weakness,high,medium,COVID-driven collapse in spending especially travel-related and cross-border payments volumes. No Mastercard-only headline in the immediate window,Financial-sector weakness after big-bank results reinforced how severe the shutdown shock was likely to be,no,,,No Mastercard-only headline but the business was directly exposed to the areas being hit hardest by lockdowns including travel entertainment and cross-border payments. The 5.0% drop is most plausibly a repricing of transaction-volume risk.
MCD,2020-04-15,3.3,demand_weakness,medium,medium,Restaurant traffic and operating disruption from COVID lockdowns. No McDonald's-specific Reuters headline in the prior 3 days,Investors rotating out of consumer-facing defensives into names with more visible earnings resilience,no,,,No discrete April 12-15 McDonald's announcement stands out as the trigger. The most likely cause is a straightforward repricing of shutdown-driven sales pressure with dining rooms closed or restricted across many markets.
MDT,2020-04-15,3.8,demand_weakness,high,medium,Elective-procedure shutdowns hurting medical-device demand. No new MDT-specific headline in the 3-day window,Broader de-risking in healthcare names without near-term COVID testing/treatment upside,yes,,,Medtronic's core businesses depended heavily on procedures that hospitals were delaying to preserve capacity for COVID patients. The 3.8% decline is most consistent with investors further marking down near-term procedure volumes and hospital purchasing activity.
MMM,2020-04-15,3.3,macro_sensitivity,medium,medium,Industrial recession fears outweighing PPE demand enthusiasm. No decisive 3M-specific negative headline during April 12-15,Concerns that non-healthcare segments would weaken sharply as manufacturing and commercial activity slowed,no,,,Even though N95 demand was booming 3M was still a broad industrial company with meaningful exposure to a collapsing global economy. The 3.3% drop looks like investors deciding that earnings damage across industrial and transportation end markets would dominate respirator sales.
USB,2020-04-15,6.9,earnings_miss,high,high,Earnings-driven reset from COVID credit costs plus payment-services exposure to travel/retail. U.S. Bancorp reported Q1 EPS of $0.72 and said results were adversely impacted by COVID-19,Sympathy pressure from JPMorgan/Wells Fargo results that had already framed a grim bank outlook,yes,miss,,USB's selloff is one of the clearer ones with the bank reporting $0.72 EPS and saying the quarter was hurt by COVID. Its disclosed revenue mix showed material exposure to travel at 12% and retail at 28% which were exactly the categories being frozen by lockdowns.
RTX,2020-04-15,4.2,macro_sensitivity,medium,medium-high,Commercial-aerospace demand collapse after the RTX merger closed. The combined company had major commercial-aerospace exposure just as global air travel collapsed,Integration uncertainty and broad aerospace selloff as airlines grounded fleets,no,,,The new RTX entity came into existence only days earlier inheriting sizable exposure to Pratt & Whitney and other aerospace businesses just as airlines worldwide were grounding aircraft making the stock highly sensitive to the ongoing air-travel collapse.
SCHW,2020-04-15,4.3,earnings_miss,medium,high,Earnings day reaction to weaker profitability and integration-related expenses. Charles Schwab reported Q1 net income of $795 million down 18% year over year,Lower rates pressuring net interest revenue and broader financial-sector weakness after bank earnings,yes,miss,,This looks primarily earnings-driven with Schwab saying first-quarter net income fell to $795 million from $964 million a year earlier while absorbing transaction/integration costs giving investors a reason to mark down earnings power despite elevated client activity.
SO,2020-04-15,5.3,no_clear_catalyst,low,medium-low,Macro-driven utility selloff amid recession and demand concerns. No Southern Company-specific negative headline in the window,Rotation and balance-sheet sensitivity fears in rate-sensitive sectors,no,,,No strong Southern-specific event in the 3 days before the drop. The 5.3% decline looks mostly like a macro move with utilities sold alongside other defensives as markets digested worsening shutdown economics and earnings uncertainty.
