ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
TSLA,2020-07-28,4.1,macro_sensitivity,medium,medium,Post-earnings profit-taking with no new fundamental negative as stock continued to cool after massive pre-earnings run-up,Sell-the-news momentum unwinding and general market caution,yes,,,Tesla kept drifting lower after Q2 earnings with no fresh catalyst just continued de-rating from overextended levels.
GE,2020-07-29,4.4,earnings_miss,high,high,Q2 adjusted EPS loss of $0.15 vs $0.10 expected with revenue down 24% to $17.75B and industrial free cash flow negative $2.1B,Aviation segment hit hardest by pandemic travel collapse,yes,miss,,GE's Q2 was a clear miss with worse-than-expected losses and deeply negative industrial free cash flow driven by aviation weakness.
XOM,2020-07-30,4.9,macro_sensitivity,high,medium,Oil below $40 with refiners posting worst Q2 in a decade and GDP collapsed 32.9% annualized,Broad energy sector weakness on demand destruction fears,no,,,Exxon traded as oil beta with the record GDP contraction amplifying fears about sustained fuel demand weakness.
WFC,2020-07-30,4.4,macro_sensitivity,medium,medium,Macro credit-risk fears amplified by 32.9% GDP collapse hitting already-fragile banks,Sector-wide financial weakness and ongoing Wells-specific restructuring overhang,no,,,Wells Fargo was sold with the bank complex as the GDP shock reignited credit-loss fears across financials.
SPG,2020-07-30,3.0,macro_sensitivity,medium,medium,Pandemic mall-rent fears worsened by GDP contraction data,General REIT/retail-property sentiment deterioration,no,,,Simon's drop reflected worsening macro sentiment from the GDP report rather than a fresh company-specific development.
RTX,2020-07-30,3.3,macro_sensitivity,medium,medium-low,Commercial aerospace weakness with GDP shock amplifying concerns about airline travel recovery,Defense segment stable but commercial aviation dragging sentiment,no,,,Raytheon Technologies traded with the aerospace/industrial complex as GDP data underscored the depth of the travel downturn.
NOW,2020-07-30,3.2,earnings_miss,medium,medium-high,Q2 subscription revenue $1.016B up 30% but sell-the-news reaction despite solid results,High valuation left little room for error and investors took profits on strong numbers,yes,beat,,ServiceNow delivered strong growth but the stock's rich valuation set up a sell-the-news reaction as results met but did not exceed lofty expectations.
MS,2020-07-30,3.2,macro_sensitivity,medium,medium,Bank-sector pullback on recession data from GDP report with no Morgan Stanley-specific trigger,General financial-sector de-risking on macro fears,no,,,Morgan Stanley was caught in the bank-sector downdraft triggered by the GDP shock rather than any firm-specific issue.
GE,2020-07-30,5.0,earnings_miss,high,high,Continuing post-earnings repricing after weak Q2 results reported July 29,Extended earnings fallout as market digested depth of industrial and aviation weakness,yes,miss,,GE's second consecutive down day as investors continued to reprice the stock following deeply disappointing Q2 results.
HON,2020-07-30,3.5,macro_sensitivity,medium,medium,Cyclical industrial/aerospace weakness amplified by GDP shock data,Broad industrial selloff as 32.9% GDP contraction hit cyclical sentiment,no,,,Honeywell traded as industrial beta with the GDP data amplifying concerns about aerospace and cyclical end markets.
