ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
XOM,2020-03-05,4.4,macro_sensitivity,high,high,"Collapsing oil-demand expectations plus OPEC+ uncertainty. IEA said Q1 oil demand would fall YoY for first time since 2009","OPEC seeking additional 1.5M bpd production cut at Mar 5-6 Vienna meeting while Russia had not yet agreed. General equity risk-off",no,,,"Exxon's drop was macro and commodity-driven not tied to a fresh company event. By March 5 investors were processing the prospect of the first YoY quarterly demand drop since 2009 and waiting on OPEC+ as the market debated whether a proposed 1.5M bpd cut would be enough."
SCHW,2020-03-05,6.4,macro_sensitivity,medium,high,"Margin compression fears from lower short rates and plunging yields after Fed emergency 50bp cut. 10-year yield hit record low ~0.9%","Broad risk-off sentiment across brokers and asset gatherers. Reuters noted S&P banks index fell 4.7% on Mar 6 after brutal week",no,,,"Schwab's decline is best explained by the market repricing its net-interest-income outlook after the emergency rate cut. For a broker-bank hybrid like Schwab near-zero-rate fears were especially damaging and the simultaneous flight to Treasuries made the earnings-pressure signal worse."
TMO,2020-03-05,4.2,capital_structure,medium,medium-high,"STOCK-SPECIFIC. Mar 3 Thermo Fisher agreed to buy Qiagen for about $11.5B including debt. Deal-related pressure layered on market selloff","Broad healthcare-equipment de-risking with market down sharply. Investors often punish acquirers initially on financing integration and price concerns",yes,,,"The clearest stock-specific item was Thermo Fisher's large Qiagen acquisition announced Mar 3. Even though strategically it made sense investors often punish acquirers initially because of financing integration and price concerns and that was exacerbated by the March 5 COVID-driven risk-off tape."
TMUS,2020-03-05,4.2,no_clear_catalyst,low,medium,"No strong TMUS-specific headline. Broad market selloff with Sprint merger still pending closing Apr 1","Merger uncertainty over timing and integration plus general equity de-risking",no,,,"This looks mostly tape-driven. No persuasive evidence of a fresh March 2-5 company-specific negative catalyst. The Sprint deal was known and the biggest milestone did not arrive until April 1 so the March 5 move appears mostly market-driven with some merger-risk overhang."
TSLA,2020-03-05,3.3,no_clear_catalyst,low,medium,"No definitive Tesla-specific negative announcement. High-beta growth-stock selloff amid renewed COVID panic","Investor concerns about supply-chain and demand disruption for autos. Later COVID factory shutdown news came Mar 19 not before this drop",no,,,"Tesla had been an extremely volatile momentum name so on a day when the Nasdaq sold off and investors rushed out of cyclicals and high-beta equities TSLA was vulnerable even without a fresh company-specific bombshell. No convincing prior-3-day Tesla headline found."
TXN,2020-03-05,3.6,macro_sensitivity,low,medium-high,"Semiconductor and industrial-demand fears tied to COVID. TXN is bellwether for industrial and analog chip demand","General market de-risking. Apple Feb warning had reinforced broader tech hardware supply and demand scare",no,,,"Texas Instruments traded like a macro bellwether. If investors expected weaker factory activity lower auto production and softer electronics demand TXN would get marked down quickly. No fresh TXN-only catalyst in the prior 3 days."
UBER,2020-03-05,6.7,macro_sensitivity,medium,medium-high,"Early COVID demand fears for ridesharing and mobility. Core business directly exposed to reduced airport trips commuting and nightlife","Persistent AB5 contractor-model overhang and general risk-off pressure on unprofitable growth names. Travel-demand warnings intensifying rapidly",no,,,"Uber's move looks more fundamental than some software names because its core business was directly exposed to reduced airport trips commuting and nightlife. By March 5 investors were already bracing for a severe travel slowdown and Uber's still-fragile profitability profile made the stock particularly sensitive."
USB,2020-03-05,6.2,macro_sensitivity,medium,high,"Lower-rate and flatter-net-interest-margin fears after Fed emergency cut. 10-year yield at record low ~0.9%","Recession and credit-loss fears as COVID spread. Reuters said drop in Treasury yields weighed heavily on financial companies",no,,,"For US Bancorp the market was repricing both earnings power and credit quality at once. The March 3 emergency cut hit asset yields immediately and the renewed March 5 panic added fears around consumer and commercial loan losses."
V,2020-03-05,3.8,macro_sensitivity,medium,medium-high,"Fears of weaker cross-border transaction volumes as travel froze. Travel associations warning about sharp decline in international travel to U.S.","General consumer-spending anxiety and broad market weakness",no,,,"Visa usually holds up better than banks but its highest-margin business is tied to cross-border volume and that was exactly the category investors were starting to discount hard. The stock move fits a travel-spending shock more than any Visa-specific corporate headline."
WFC,2020-03-05,6.0,macro_sensitivity,medium,high,"Rate-cut and yield-collapse damage to bank earnings outlook. Wells already a weaker bank story entering COVID shock","Recession and credit-quality fears. Reuters explicitly tied drop in yields to weakness in financial shares",no,,,"Wells was already a weaker bank story entering the COVID shock so a sudden compression in rates and rising loss expectations hit it especially hard. No new company-specific Wells headline in the prior 3 days that explains the move better than the macro banking setup."
KO,2020-03-05,3.7,macro_sensitivity,low,medium,"COVID fears around away-from-home beverage consumption including restaurants theaters sports venues and travel corridors","General market selloff and reduced event and travel activity. Reuters later quantified away-from-home channels as about half of Coca-Cola revenue",no,,,"Coca-Cola is defensive in many environments but this was the wrong kind of shock — one that threatened stadiums cinemas restaurants and travel corridors. No new company-specific announcement in the prior 3 days so the drop looks like investors repricing its on-premise exposure."
