ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
MA,2020-02-25,6.7,guidance_cut,high,high,"Direct company guidance cut: Q1 net revenue 2-3pp hit from COVID. Growth now 9-10% vs prior trajectory","Broader risk-off selling in travel- and consumer-exposed names",yes,,below_consensus,"On Feb. 24 Mastercard said COVID-19 would shave 2-3 points off first-quarter net revenue growth as cross-border spending weakened. The company now expected Q1 revenue growth of roughly 9-10% down from the prior trajectory. The next day's wider market selloff amplified the decline."
LOW,2020-02-25,3.6,no_clear_catalyst,low,low-medium,"No clear Lowe's-specific catalyst. Broad cyclical/consumer selloff","General concern that virus shock would hit store traffic discretionary projects and housing demand",no,,,"Lowe's looks mostly like a sympathy move. By Feb. 24-25 investors were dumping consumer cyclicals as the global outbreak broadened and home-improvement retail fit the bucket of demand-sensitive domestic discretionary exposure even without a fresh company headline."
JPM,2020-02-25,4.5,macro_sensitivity,medium,medium,"Macro rate shock and recession fears hurting bank earnings expectations","General financial-sector de-risking. Markets pricing ~50bps Fed easing by year-end",no,,,"JPM's selloff looks tied mainly to the violent move lower in Treasury yields and the market suddenly pricing aggressive Fed easing which is bad for bank net interest income and signals slower credit demand. This was bank-specific through rates and growth sensitivity but not JPM-specific through company news."
LIN,2020-02-25,4.2,no_clear_catalyst,low,medium-low,"No clear company-specific catalyst. Global industrial-growth scare","Broad de-risking in cyclical industrial names",no,,,"Linde's decline fits the pattern of high-quality industrials getting sold as investors reassessed global manufacturing and capex risk. No obvious adverse Linde announcement right before the move."
ISRG,2020-02-25,3.7,macro_sensitivity,low,medium-low,"Early market repricing of elective-procedure and hospital-utilization risk after CDC warning","Broad med-tech de-risking in a falling market",no,,,"This does not look like a clean company-news move. Intuitive was highly exposed to procedure volumes and once the CDC publicly warned U.S. spread was a matter of when investors started discounting the possibility of delayed elective surgeries and weaker near-term system utilization."
INTC,2020-02-25,3.3,no_clear_catalyst,low,medium,"Semiconductor/tech selloff on virus fears. MWC pullout/cancellation as supporting signal","Broader Nasdaq and cyclical tech weakness",no,,,"Intel did not have a distinct negative corporate update right before the drop but the combination of MWC cancellation event disruption supply-chain uncertainty and concern about enterprise/PC demand made semis vulnerable."
IBM,2020-02-25,3.2,no_clear_catalyst,low,low-medium,"No clear stock-specific catalyst. Broad tech and enterprise-spending risk repricing","Legacy tech names sold off even without specific headline",no,,,"IBM looks mostly like a macro/sector move. As investors rapidly repriced global growth and enterprise IT spending risk legacy tech names sold off even without a specific headline attached to the company."
LMT,2020-02-25,4.5,no_clear_catalyst,low,low,"No clear Lockheed-specific catalyst. Broad market liquidation","Defense/aerospace basket selling alongside wider cyclicals",no,,,"Lockheed's drop is harder to tie to a narrow headline than RTX's. No company-specific driver found so the best explanation is that it was swept into a severe index-level and sector-level risk-off move."
NVDA,2020-02-25,4.1,no_clear_catalyst,low,medium,"Broad semiconductor selloff on virus fears. MWC cancellation","Event disruption and China demand/supply anxiety",no,,,"Nvidia's drop looks mostly sectoral. The MWC cancellation and virus-related uncertainty around electronics supply chains and demand undercut semis broadly. No distinct new Nvidia headline in the 3-day window."
XOM,2020-02-25,3.8,macro_sensitivity,medium,high,"Oil-demand shock from COVID-19. Reuters: China increasing fuel exports because domestic demand slumped","Broader energy-sector risk-off and recession fears",no,,,"Exxon's decline is straightforward. The market was repricing a global demand hit to crude as the outbreak spread. Reuters tied the day's move directly to tumbling oil prices. China's fuel-demand weakness was a concrete supporting data point that the demand destruction was already real."
