ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
NOW,2020-04-28,4.1,no_clear_catalyst,low,medium-low,Pre-earnings de-risking in high-multiple software amplified by the April 28 rotation out of growth tech,General uncertainty about enterprise software spending during COVID and positioning ahead of the April 29 earnings release,no,,,NOW fell 4.1% as a positioning-driven selloff ahead of its April 29 Q1 report with Reuters describing a same-day move out of market-leading tech/growth stocks.
NFLX,2020-04-28,4.2,no_clear_catalyst,low,medium,Post-earnings digestion after investors reassessed the quality of the subscriber beat as partly COVID pull-forward,Rotation out of growth tech on April 28,no,,,Netflix's Q1 delivered a big headline subscriber beat but the market focused on demand being pulled forward reducing later-quarter visibility with the 4.2% drop consistent with a delayed valuation reset.
ADBE,2020-04-28,4.3,no_clear_catalyst,low,medium-low,Growth-tech rotation/valuation compression rather than a fresh Adobe-specific headline,Ongoing investor concern about business spending and creative/marketing software demand during COVID disruptions,no,,,ADBE fell 4.3% as part of the April 28 move out of high-performing tech/growth names with no obvious fresh company-specific trigger found.
GOOGL,2020-04-28,3.0,demand_weakness,medium,high,Pre-earnings concern over COVID-driven advertising weakness with Alphabet reporting after the close confirming March ad revenue had slowed sharply,Same-day rotation out of big tech/growth,yes,,,The market was bracing for bad ad-market commentary from Google with the report confirming March ad slowdown and management warning Q2 could see essentially zero growth.
GOOG,2020-04-28,3.3,demand_weakness,medium,high,Pre-earnings concern over pandemic-related ad slowdown with Alphabet's pending earnings release,Rotation out of growth tech,yes,,,GOOG was the same trade as GOOGL with investors pricing in a weaker ad environment and the risk of weak Q2 commentary ahead of the after-close report.
ABT,2020-04-28,3.7,guidance_cut,medium,medium-low,Continued negative read-through from Abbott's April 16 suspended 2020 guidance and procedure-volume pressure,Broader healthcare uncertainty during shutdowns,yes,,down,Abbott's prior earnings showed COVID testing opportunity offset by weaker routine diagnostics lower elective procedure volumes and a guidance suspension driving continued selling pressure.
MRK,2020-04-28,3.3,guidance_cut,high,high,Merck reported Q1 with $12.1 billion in sales but cut full-year 2020 revenue guidance to $46.1B-$48.1B and EPS guidance to $5.17-$5.37 due to COVID,General pandemic uncertainty around pharma demand and healthcare access,yes,,down,Despite 11% sales growth and KEYTRUDA up 45% to $3.3 billion the market focused on Merck's guidance cut reflecting COVID's impact on healthcare demand.
AMD,2020-04-29,3.3,guidance_cut,medium,high,AMD warned of weaker COVID-related consumer demand in the second half despite Q1 revenue of $1.79 billion and 2020 growth guide of ~25%,Some profit-taking after a strong run and cautious reading of console/semi-custom margin mix,yes,,down,AMD's release was fundamentally solid but the market keyed on management's statement that COVID could weaken consumer demand in 2H20 tempering enthusiasm.
GE,2020-04-29,3.2,earnings_miss,high,high,GE reported severe COVID damage to Aviation with industrial free cash flow at negative $2.2 billion and targeted more than $2 billion in cost cuts,Balance-sheet and liquidity concerns even though management was taking defensive actions,yes,miss,,The earnings release made the aviation hit impossible to ignore with industrial free cash flow of negative $2.2B and commercial aerospace declining dramatically.
WMT,2020-04-29,3.4,no_clear_catalyst,low,medium-low,Repricing of retail/consumer exposure as the market weighed COVID-related strain on spending and operating costs not a discrete Walmart announcement,Concerns that pantry-loading strength would be offset by mix shifts labor/safety costs and weakness outside essentials,no,,,Not a clean single-headline move with the decline most likely reflecting investors rethinking how much of Walmart's demand spike was sustainable versus margin pressure.
MA,2020-04-30,3.1,demand_weakness,medium,medium-high,Ongoing pressure on cross-border and travel-related payments volumes following Mastercard's Q1 earnings call on April 29,Weak macro visibility for consumer spending and global travel,yes,,,For Mastercard the key issue was payment volume mix especially cross-border travel with the Q1 earnings event confirming deteriorating trends.
MO,2020-04-30,3.0,guidance_cut,medium,high,Altria reported on April 30 and explicitly withdrew 2020 earnings guidance because of uncertain COVID impacts,Investor concern about recession-driven volume/mix uncertainty across tobacco and adjacent businesses,yes,,down,Despite strong cash flow and core tobacco execution the market focused on the guidance withdrawal which for a defensive income-heavy name signaled poor visibility.
MS,2020-04-30,3.3,macro_sensitivity,medium,medium-low,Bank-sector weakness and continued digestion of COVID-era earnings quality rather than a new MS-specific catalyst,Investor skepticism that trading strength could offset broader recession and capital-markets weakness,no,,,Morgan Stanley's quarter showed trading holding up well but other lines pressured with no sharper company-specific news in the 3-day window.
MU,2020-04-30,3.9,macro_sensitivity,medium,low,Semiconductor-sector weakness/read-through rather than a fresh Micron headline,Investor caution about memory-cycle durability and COVID demand/margin uncertainty,no,,,No strong Micron-specific event found with the 3.9% drop most likely reflecting semis trading lower on cautious pandemic assumptions and peer read-through.
UBER,2020-04-30,3.5,demand_weakness,medium,medium-low,Continued fallout from withdrawn guidance and uncertainty around the core rides business,Market concern that Eats strength would not offset the collapse in ride demand,yes,,,Uber was still trading as a collapse-in-mobility story with the decline reflecting ongoing concern after pulled forecasts and material write-downs while rides demand remained badly impaired.
T,2020-04-30,3.1,demand_weakness,medium,medium-low,Continued digestion of weak media/video trends from AT&T's April 22 earnings showing Q1 revenue falling to $42.8B from $44.8B,Concern that stable wireless metrics would not fully offset entertainment and advertising weakness,yes,,,AT&T's results showed mobility resilience but the market focused on declining video subscribers lower WarnerMedia revenue and sports/cinema disruption.
USB,2020-04-30,5.1,macro_sensitivity,medium,medium,Continued pressure from recession fears and reserve/earnings concerns in regional banks after April 15 earnings showing EPS of $0.72,Rate pressure on margins and weaker payments/consumer activity,no,,,USB's larger-than-peer drop reflected continued post-earnings repricing of regional-bank earnings power as COVID crushed activity compressed rates and raised credit-loss fears.
WFC,2020-04-30,3.2,macro_sensitivity,medium,medium,Ongoing fallout from weak April 14 earnings and credit-loss fears,Structural skepticism toward Wells Fargo relative to other banks,no,,,Wells had shown how hard COVID was hitting with earnings near breakeven and reserve pressure dominating the narrative with no fresh catalyst in the 3-day window.
RTX,2020-04-30,4.6,macro_sensitivity,medium,medium,Commercial aerospace exposure amid deepening COVID air-travel collapse with read-through from GE's April 29 aviation damage disclosure,Pre-earnings caution ahead of May 7 report,no,,,RTX's decline was most likely driven by industry read-through from GE's results making the commercial aerospace damage explicit rather than a fresh RTX-specific headline.
LRCX,2020-04-30,8.8,macro_sensitivity,high,medium,Post-earnings reassessment of semiconductor equipment demand/visibility under COVID after April 22 results,Broad semiconductor and tech risk-off tone with concern about customer capex and supply-chain disruption,no,,,Lam's reported quarter was solid with revenue $2.504B and EPS $3.88 but the market aggressively discounted semicap demand and execution risk during the pandemic.
