ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
AMT,2020-06-24,3.9,no_clear_catalyst,low,medium,Broad market risk-off and defensive equity de-grossing on COVID resurgence with no AMT-specific negative headline,REITs and rate-sensitive defensives sold with broader market and ETF flows,no,,,AMT's 3.9% decline was steeper than the index but driven by the June 24 broad selloff (Dow -710) not a company event.
AXP,2020-06-24,4.0,demand_weakness,medium,medium,Renewed COVID/reopening fears hitting travel-and-spend-exposed lenders with AmEx Q2 T&E spending down 87%,Consumer-credit loss anxiety and pressure on financials generally,yes,,,AXP is unusually sensitive to travel and entertainment volumes so the June 24 virus scare hit harder than a plain-vanilla bank.
BA,2020-06-24,6.0,demand_weakness,high,medium-high,COVID resurgence undermining airline recovery expectations and aircraft demand with no completed 737 MAX certification milestone,Ongoing uncertainty around 737 MAX timing with FAA saying certification flights expected in the near future,yes,,,BA dropped 6.0% as the market reassessed reopening-sensitive names with weak airline demand and deferred jet orders.
BAC,2020-06-24,4.0,macro_sensitivity,medium,medium-high,Macro banking selloff on renewed economic-recovery fears with weaker recovery implying higher loan losses and lower rates,Concern ahead of Fed stress-test results though formal restrictions announced after close June 25,no,,,BAC's decline lined up with a broader hit to cyclicals and financials as investors worried another lockdown round would slow credit normalization.
GM,2020-06-24,3.7,macro_sensitivity,medium,medium,Reopening-sensitive auto demand fears from rising COVID cases with GM already in cash-preservation mode since April,General weakness in cyclicals/industrials and concern dealership traffic and production normalization would be delayed,no,,,GM fell as the market moved away from economically sensitive names with the June 24 infection fears pushing down auto recovery expectations.
BKNG,2020-06-24,4.0,demand_weakness,medium,medium,Travel recovery fears from the COVID case resurgence with rising infections directly threatening lodging and booking volumes,Risk-off rotation out of high-beta reopening names,yes,,,BKNG's decline is best explained by the market re-pricing the travel rebound after the June 24 flare-up in U.S. infections.
C,2020-06-24,4.0,macro_sensitivity,medium,medium-high,Bank-sector selloff on renewed recession/credit-loss fears with no specific Citigroup negative headline,Positioning ahead of stress tests though Fed payout restrictions arrived after market close June 25,no,,,Citi's fall fits the market's June 24 shift back toward a damaged recovery narrative for banks.
BK,2020-06-24,3.8,macro_sensitivity,medium,medium,Broad financial-sector weakness on June 24's COVID-driven selloff with no clear BK-specific headline,Lower-for-longer rate expectations and concern about market-sensitive fee businesses,no,,,BK lost 3.8% as investors priced in a shakier economic recovery across financials.
COF,2020-06-24,5.9,macro_sensitivity,high,high,Consumer credit-loss fears as COVID cases surged again with Capital One heavily exposed to unsecured consumer balances,Broader bank selloff and pressure on card/lender names,no,,,COF's 5.9% drop was materially worse than the S&P's 2.6% fitting its higher sensitivity to household stress and credit quality.
COP,2020-06-24,6.4,macro_sensitivity,high,high,Oil-price collapse on record inventories as crude tumbled more than 5% with U.S. inventories rising 1.4M barrels to another record,Energy's high beta to macro risk-off and concern fuel-demand recovery would stall,no,,,COP's 6.4% decline was one of the clearest commodity-driven moves with crude directly cutting near-term cash-flow expectations.
CVX,2020-06-24,4.2,macro_sensitivity,medium,high,Oil-price selloff tied to inventory and demand fears with oil falling over 5% on June 24,Broader risk-off and pre-existing skepticism about fuel-demand normalization after Chevron cut capex by $4B,no,,,CVX fell as crude was hit by both supply data and a worsening demand outlook amid the COVID resurgence.
DIS,2020-06-24,3.9,demand_weakness,high,high,Disneyland reopening delay as Disney announced California would not issue theme-park guidance until after July 4,Broader market anxiety over rising COVID cases hurting parks cruises studios and ad-sensitive media,yes,,,Disney delayed the planned July 17 Disneyland reopening reinforcing concerns that its most important profit center would stay impaired longer.
EMR,2020-06-24,3.5,macro_sensitivity,medium,medium,Cyclical industrial selloff on renewed lockdown fears with no Emerson-specific negative release,Weakness in energy/end-market sentiment relevant due to EMR's exposure to industrial capex and process markets,no,,,EMR's decline appears driven by macro fears about slower industrial spending and plant activity recovery.
GD,2020-06-24,4.1,no_clear_catalyst,low,medium,Broad market selloff especially in industrials with no GD-specific bad headline in prior three days,Weakness in business-jet and aerospace sentiment,no,,,GD fell even without a verified company-specific catalyst as macro de-risking hit industrials/aerospace/defense broadly.
CAT,2020-06-24,3.3,macro_sensitivity,medium,medium-high,Global-growth/reopening fears hitting cyclical machinery names levered to construction mining and global growth,Oil weakness hurting capital spending expectations in energy-linked end markets,no,,,CAT's decline fits a textbook cyclical selloff as the market moved from reopening optimism back toward a stop-start recovery concern.
NVDA,2020-06-26,3.5,no_clear_catalyst,low,low-medium,General tech de-risking and market weakness with no clear Nvidia-specific negative event June 23-26,Rotation away from high-multiple growth names as market digested worsening virus headlines,no,,,NVDA's decline appears to be collateral damage from a weaker tape rather than a company development.
META,2020-06-26,8.3,regulatory_legal,high,high,Advertiser boycott escalation as Unilever halted U.S. ads on Facebook and Instagram for rest of 2020 after StopHateForProfit campaign grew to 160+ companies,Broader pressure from civil-rights groups and concern more top advertisers like Coca-Cola would join,yes,,,META's 8.3% drop was a genuine single-name shock driven by Unilever's boycott decision not just market beta.
MO,2020-06-26,3.7,no_clear_catalyst,low,low-medium,General risk-off move with no credible Altria-specific negative headline in June 23-26 window,Ongoing regulatory overhang around nicotine/vaping but no new trigger found,no,,,MO's decline does not appear tied to a fresh company development and is attributed to general market weakness.
