ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
COP,2020-02-04,4.5,earnings_miss,medium,high,"Q4 earnings miss + COVID oil demand fears","Raised dividend 38% and expanded buybacks to $25B but market focused on miss",yes,miss,,"ConocoPhillips fell after reporting Q4 2019 results on Feb. 4. Adjusted EPS $0.76 versus roughly $0.81 expected with GAAP EPS of $0.65 while year-over-year earnings declined sharply. Even though COP boosted its dividend to $0.42/share and expanded buybacks to $25B the market focused on the earnings shortfall and weaker profit profile."
UBER,2020-02-05,4.5,no_clear_catalyst,low,medium-low,"Pre-earnings positioning ahead of Feb 6 Q4 report","Still unprofitable regulatory overhang around driver classification",no,,,"Uber's Feb. 5 decline appears to have been mostly a pre-earnings move rather than a reaction to a fresh company headline. Uber was set to report Q4 on Feb. 6 and investors were already bracing for another large loss in a stock still under scrutiny for profitability and regulatory risk. The next day Uber reported $4.1B revenue $18.1B gross bookings and a $1.10B GAAP net loss."
NOW,2020-02-05,3.8,no_clear_catalyst,low,low,"No stock-specific catalyst found. High-multiple software valuation pressure","Q4 reported Jan 29 already absorbed",no,,,"Could not verify a fresh ServiceNow-specific event in the three days before the Feb. 5 decline. The most likely explanation is a valuation-led pullback in high-multiple software stocks after earnings season rather than a new filing guidance change or analyst action directly tied to ServiceNow that day."
MU,2020-02-07,3.1,no_clear_catalyst,low,medium,"COVID China supply chain and demand fears hitting semis","Dec earnings had been constructive signaling 2020 recovery",no,,,"Micron's Feb. 7 weakness does not appear tied to a fresh company announcement. The best explanation is early COVID supply-chain and China-demand anxiety hitting semiconductor names which mattered for Micron because investors were evaluating how disruptions in China could affect memory demand and manufacturing even though December results had pointed to a recovery."
QCOM,2020-02-07,3.5,no_clear_catalyst,low,medium-low,"Post-earnings digestion plus COVID China smartphone fears","Reported Feb 5 after close with mixed reaction",no,,,"Qualcomm's Feb. 7 drop does not line up with a clearly identifiable new negative company event. The most plausible read is a post-earnings pullback amplified by coronavirus fears around China smartphone demand and production which weighed on handset and semiconductor names broadly in early February."
UPS,2020-02-07,3.2,no_clear_catalyst,low,medium-low,"Macro transport sector concern tied to COVID trade volume risk","Post-earnings digestion from late-January results",no,,,"UPS's Feb. 7 decline appears to have been driven mainly by growing concern about global shipping demand and supply-chain disruption from the coronavirus outbreak not by a fresh UPS-specific announcement. With transport names acting as economic barometers UPS was pressured as investors began pricing in weaker cross-border volume and industrial activity."
CSCO,2020-02-13,5.2,guidance_cut,medium,high,"Weak Q3 forward guidance after fiscal Q2 results","Enterprise networking demand softening concerns",yes,,below_consensus,"Cisco fell after reporting fiscal Q2 revenue of $12.0B and non-GAAP EPS of $0.77 but the bigger issue was a soft Q3 outlook. Management guided to a 1.5% to 3.5% y/y revenue decline and $0.79 to $0.81 non-GAAP EPS reinforcing concerns about slowing enterprise and networking demand."
LRCX,2020-02-18,4.1,no_clear_catalyst,low,medium-low,"Semiconductor equipment sector de-risking on COVID China fab fears","First trading day after Presidents Day. Group had run up sharply",no,,,"Lam Research's Feb. 18 decline appears to have been mostly a sector move not a reaction to a fresh Lam-specific announcement. Semiconductor-equipment stocks were increasingly pressured by fears that the coronavirus outbreak would disrupt Chinese manufacturing fab spending timing and the electronics supply chain."
MDT,2020-02-18,4.0,earnings_miss,low,medium,"Earnings reaction on fiscal Q3 results day","Early COVID elective procedure uncertainty beginning",yes,,,"Medtronic fell on the day it reported fiscal Q3 2020 results. The company posted $7.7B in revenue up 2.3% reported and 2.6% organic. The drop appears to have been an earnings-driven reaction rather than a separate news event."
MS,2020-02-20,4.5,no_clear_catalyst,low,medium-low,"Macro financial sector pressure from falling yields and COVID fears","Banks vulnerable as investors rotated away from cyclicals",no,,,"Morgan Stanley's Feb. 20 decline does not appear to be linked to a fresh company headline. The most likely driver was sector pressure on financials as Treasury yields fell and coronavirus fears increased which hurt sentiment around banks and other economically sensitive names."
