ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
INTC,2020-10-28,-3.0,earnings_miss,medium,high,Ongoing digestion of Oct 22 earnings showing tumbling margins and weaker data-center demand,Oct 20 NAND sale to SK Hynix for $9B plus broad chip weakness,yes,miss,,"INTC continuation from ugly Q3: margins tumbled as customers bought cheaper PCs, data-center demand weakened"
AAPL,2020-10-28,-4.6,macro_sensitivity,medium,medium,Pre-earnings de-risking in mega-cap tech into brutal Nasdaq selloff,antitrust cloud over Big Tech with iPhone 12 expectations high,no,,,"AAPL fell on pre-earnings tech derisking, no bad Apple-specific news, iPhone 12 demand constructive"
ACN,2020-10-28,-3.0,macro_sensitivity,medium,low-medium,Mostly macro/risk-off in consulting/enterprise-spending names,concern about deferred transformation spending if lockdowns returned,no,,,"No ACN-specific catalyst, consulting names pressured by macro worries about delayed projects"
ADBE,2020-10-28,-4.5,macro_sensitivity,medium,medium-low,Valuation-driven software selloff within broader Nasdaq drop,high-multiple software cohort vulnerable to growth/tech selloff,no,,,"No ADBE-specific event, fell with high-multiple software in broad tech selloff"
AMD,2020-10-28,-3.1,capital_structure,medium,high,Oct 27 announced $35B all-stock Xilinx acquisition at ~$143/share with 25% premium,dilution and execution risk from large deal plus broad semi weakness,yes,,,"AMD digesting $35B all-stock Xilinx deal, dilution/execution concerns in weak semi tape"
AMGN,2020-10-28,-3.2,macro_sensitivity,medium,low-medium,Macro/risk-off rotation out of defensives/biotech,Q3 revenue $6.423B up 12% and EPS $3.43 not enough to offset market pressure,no,,,"AMGN fell with market despite solid Q3 (revenue +12%), macro rotation out of defensives"
AMZN,2020-10-28,-3.8,regulatory_legal,medium,medium,Pre-earnings derisking under antitrust cloud with growing regulatory pressure,concern lockdown-driven winners were over-owned,no,,,"AMZN pre-earnings derisking under antitrust scrutiny, no specific negative operating news"
AVGO,2020-10-28,-3.4,macro_sensitivity,medium,medium-low,Sector/macro selloff in semiconductors,sympathy with AMD/Intel headline flow and Nasdaq weakness,no,,,"No AVGO-specific catalyst, fell with semiconductor complex amid AMD/Intel news flow"
AXP,2020-10-28,-3.5,earnings_miss,medium,high,Continued fallout from Oct 23 weak earnings: card spending -19% to $248.7B and T&E -69%,CEO said business travel recovery not until late 2021/early 2022,yes,miss,down,"AXP continued decline from weak Q3: T&E spending plunged 69%, travel recovery pushed to late 2021"
BA,2020-10-28,-4.6,earnings_miss,high,high,Oct 28 reported another quarterly loss with job cuts deepening to ~30K by end-2021,continued cash burn amid MAX crisis plus pandemic aviation collapse,yes,miss,,"Boeing reported quarterly loss, deepening job cuts to 30K, still burning cash from MAX + COVID double shock"
BK,2020-10-28,-4.2,earnings_miss,medium,medium-high,Q3 total revenue fell 4% and income before taxes fell 17% on low rates and fee waivers,AUC/A rose to $38.6T but earnings quality poor from rate environment,yes,,,"BNY Mellon revenue -4%, pretax income -17% on rate pressure and money-market fee waivers"
CAT,2020-10-28,-4.3,earnings_miss,medium,high,Oct 27 earnings showed weak equipment demand with customers delaying capex,rising lockdown fears and slower global capex outlook,yes,miss,,"CAT continuation from weak Oct 27 earnings: customers delaying capex, industrial demand fragile"
INTU,2020-10-28,-3.6,macro_sensitivity,medium,low-medium,Software-sector and market-wide risk-off,possible caution around Credit Karma regulatory review but DOJ action not until Nov 25,no,,,"No INTU-specific catalyst, software sector selloff with Credit Karma regulatory review as background"
BKNG,2020-10-28,-5.5,demand_weakness,high,high,Renewed travel-restriction fears as Europe reimposed COVID curbs,Aug 2020 cut ~25% of 17K Booking.com workforce from pandemic damage,yes,,,"Booking hit by renewed European COVID restrictions, had already cut 25% of workforce from pandemic damage"
CRM,2020-10-28,-4.7,macro_sensitivity,medium,medium-low,Broad software selloff with pre-earnings de-risking in growth tech,no fresh Salesforce-specific negative; Slack deal rumors came later,no,,,"No CRM-specific catalyst, fell with growth software selloff ahead of earnings season"
IBM,2020-10-28,-3.5,guidance_cut,medium,high,Continued digestion of Oct 19 earnings where IBM refused to issue forecast citing uncertainty,clients deferring purchases despite cloud growth,yes,,down,"IBM still trading under weight of no guidance after Q3, client deferrals despite cloud progress"
HON,2020-10-28,-3.4,macro_sensitivity,medium,medium-low,Macro/cyclical risk-off hitting industrials with aerospace exposure,travel and aerospace recovery concerns as Europe tightened restrictions,no,,,"No HON-specific catalyst, industrial/aerospace name hit by renewed lockdown concerns"
GS,2020-10-28,-3.0,regulatory_legal,medium,medium-high,Ongoing fallout from Oct 22 1MDB settlement: >$2B U.S. charges with ~$3B global package,bank-sector weakness amid broad market selloff,yes,,,"Goldman still digesting 1MDB settlement ($3B global with wrongdoing admission) plus bank sector weakness"
COP,2020-10-28,-4.9,capital_structure,medium,high,Oil-sector macro weakness plus continued $9.7B Concho acquisition digestion,COVID restriction demand fears hitting energy sentiment,yes,,,"COP hit by Concho deal overhang plus collapsing oil demand sentiment on COVID lockdown fears"
GOOG,2020-10-28,-5.5,regulatory_legal,high,high,Oct 20 DOJ and 11 states sued Google in biggest antitrust case vs tech in decades,pre-earnings de-risking in mega-cap tech under regulatory cloud,yes,,,"Google underperformed on DOJ monopoly case filed 8 days prior, antitrust risk + tech derisking"
