ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
MA,2020-10-26,-3.5,macro_sensitivity,medium,medium-low,Macro risk-off plus payments/travel sensitivity ahead of earnings,weak cross-border/travel activity and broad growth-stock de-risking,no,,,"No MA-specific catalyst, payments/travel names pressured on COVID fears ahead of earnings"
UBER,2020-10-26,-3.4,macro_sensitivity,medium,medium-low,Macro selloff hitting reopening/mobility names,lingering California labor/Prop 22 regulatory overhang and depressed ride demand,no,,,"No fresh Uber catalyst, macro selloff hitting mobility names with Prop 22 overhang"
ISRG,2020-10-26,-3.2,macro_sensitivity,medium,medium,Broad growth/medtech risk-off on renewed COVID restrictions,concern elective procedure disruption could affect da Vinci volumes,no,,,"Medtech risk-off on COVID restrictions threatening elective procedures, no ISRG-specific news"
INTC,2020-10-26,-3.1,earnings_miss,medium,high,Continuation pressure from disappointing Oct 22 earnings with data-center revenue down 7% to $5.9B,gross margins fell as customers shifted toward cheaper chips missing ~$6.21B expectation,yes,miss,,"INTC continuation selloff from weak Q3: data-center revenue $5.9B missed $6.21B, margin compression on mix shift"
IBM,2020-10-26,-3.3,earnings_miss,medium,high,Continuation selling from Oct 19 Q3 report showing customers deferring purchases,cloud revenue rose 19% to $6.0B but legacy business pressure persisted,yes,,,"IBM continuation decline from weak Q3: cloud grew 19% but customers delaying projects pressured legacy revenue"
GOOG,2020-10-26,-3.1,regulatory_legal,medium,high,DOJ and 11 states sued Google Oct 20 in biggest U.S. antitrust challenge to Big Tech in decades,judge set first hearing on Oct 26 plus broad tech de-risking into earnings,yes,,,"DOJ antitrust lawsuit overhang with first hearing set Oct 26, biggest Big Tech legal challenge in decades"
COF,2020-10-26,-3.9,macro_sensitivity,medium,medium-high,Sector/macro pressure on lenders despite decent Q3 report on Oct 22,election/stimulus uncertainty and credit-cycle caution,no,beat,,"COF fell with financials despite solid Q3 ($2.4B NI / $5.06 EPS), sector pressure from stimulus/election uncertainty"
EMR,2020-10-26,-3.3,macro_sensitivity,medium,medium,Industrial/macro selloff on renewed COVID worries,concerns about capital spending and factory demand and global reopening momentum,no,,,"No EMR-specific catalyst, industrial selloff on COVID fears hitting capex and factory demand outlook"
GE,2020-10-26,-3.3,macro_sensitivity,medium,medium,Macro/cyclical risk-off ahead of Oct 28 earnings,persistent aviation exposure concern and industrial recovery fragility,no,,,"Pre-earnings risk-off for GE, aviation overhang with macro/cyclical selloff on COVID fears"
AXP,2020-10-26,-4.1,earnings_miss,medium,high,Oct 23 Q3 showed profit slump with card spending down 19% to $248.7B and T&E spending plunging 69%,management said business travel recovery not until late 2021 or early 2022,yes,miss,down,"Continued selloff from weak Q3: card spending fell 19%, T&E spending plunged 69%, travel recovery pushed to late 2021"
BA,2020-10-26,-3.9,demand_weakness,medium,medium-high,Ongoing pandemic-driven aviation demand destruction with MAX grounding,Boeing deepening job cuts and airlines delaying deliveries due to collapsed air travel,yes,,,"Boeing pressured by MAX grounding plus pandemic-crushed airline demand, airlines delaying deliveries"
BKNG,2020-10-26,-4.1,macro_sensitivity,medium,high,Renewed COVID restrictions hurting cross-border and European travel sentiment,broader market selloff amplified by heavy Europe exposure,no,,,"Travel selloff on renewed COVID restrictions, Booking highly sensitive to European cross-border travel"
ACN,2020-10-26,-4.6,macro_sensitivity,medium,medium-low,Broad rotation out of consulting/IT services,concern about enterprise project delays if COVID restrictions intensified,no,,,"No ACN-specific catalyst, consulting/IT services rotation on fears of delayed enterprise projects"
COP,2020-10-26,-6.8,capital_structure,high,high,Concho $9.7B all-stock deal integration pressure plus collapsing oil-demand sentiment,Europe tightening restrictions worsened commodity outlook on top of deal overhang,yes,,,"COP hit by dual forces: Concho deal integration concerns plus collapsing oil demand on European lockdown fears"
CRM,2020-10-26,-3.4,macro_sensitivity,medium,medium,Broad tech/growth selloff with rich valuation,pre-earnings de-risking in high-multiple software,no,,,"No CRM-specific catalyst, tech/growth selloff and valuation compression in software"
DIS,2020-10-26,-3.3,demand_weakness,medium,high,Persistent theme-park/COVID damage with ~28K parks layoffs and Disneyland still closed in California,renewed skepticism that parks earnings would normalize soon,yes,,,"Disney pressured by massive parks layoffs (~28K), Disneyland closed in CA, COVID crushing attendance"
CAT,2020-10-26,-3.2,earnings_miss,medium,high,Pre-earnings caution ahead of Oct 27 report showing earnings halved as customers deferred equipment purchases,macro worries about capex demand and global growth validated by weak report next day,yes,,,"CAT pre-earnings selloff validated next day: earnings halved as customers held back equipment purchases"
MS,2020-10-27,-3.4,macro_sensitivity,medium,medium,Bank-sector selloff on election/stimulus/economic worries,rotation out of financials despite decent prior earnings,no,,,"No MS-specific catalyst, bank-sector selloff on election and stimulus uncertainty"
WFC,2020-10-27,-3.9,macro_sensitivity,medium,medium,Macro/sector pressure on banks,existing overhangs including Fed asset cap and weaker earnings power in low-rate environment,no,,,"WFC fell with bank sector, Fed asset cap and low-rate earnings pressure as background overhangs"
USB,2020-10-27,-3.9,macro_sensitivity,medium,medium,Broad bank selloff with NIM pressure and concern about economic outlook without stimulus,low rates compressing margins and COVID threatening credit quality pre-election,no,,,"USB sold with regional banks, NIM compression and credit quality concerns amid fading stimulus hopes"
