ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
SBUX,2020-03-18,4.5,demand_weakness,medium,high,STOCK-SPECIFIC. Starbucks and McDonald's said closing dine-in areas at many U.S. stores shifting to take-away and delivery. Later Starbucks would close most company-operated North America cafes for two weeks,Broader market panic. Rising odds of wider lockdowns across foodservice and retail,yes,,,The key stock-specific development was Starbucks move to close dine-in seating across many U.S. stores shifting business to take-away and delivery as cities tightened restrictions. The later March 20 announcement that Starbucks would close most company-operated North America cafes suggests the March 18 selloff was anticipating a much deeper traffic collapse.
SCHW,2020-03-18,3.7,macro_sensitivity,medium,medium,No clear Schwab-specific negative. Fed emergency move to near-zero rates Mar 15. Rate-collapse and market-stress pressure on brokerage earnings power especially net interest revenue,General financial-sector selling. Forced deleveraging,no,,,Unlike some other names Schwab does not appear to have had a fresh company-specific bombshell immediately before March 18. The more likely explanation is that investors were discounting the profit hit from the Fed emergency rate cuts toward 0% and the broader collapse in risk assets.
SPG,2020-03-18,23.7,demand_weakness,high,high,STOCK-SPECIFIC. Simon Property said Mar 18 would temporarily close all U.S. retail properties including malls Premium Outlets and Mills until Mar 29. Total shutdown of company U.S. mall portfolio,Real-estate and brick-and-mortar retail among hardest-hit segments. Rent collection risk tenant distress unknown reopening timeline,yes,,,This one had an obvious issuer-specific catalyst: Simon announced it was closing all domestic retail properties an extraordinary step for the largest U.S. mall owner. A 23.7% drop makes sense because investors were suddenly pricing not just weaker tenant sales but near-immediate rent collection risk.
TMUS,2020-03-18,5.1,no_clear_catalyst,low,low-medium,No material T-Mobile-specific negative Mar 15-18. Pending Sprint merger integration. Broad-market liquidation and de-risking,Merger and integration uncertainty around Sprint likely limited defensiveness,no,,,No stock-specific negative news catalyst inside March 15-18 for T-Mobile. The drop looks more consistent with indiscriminate selling during one of the worst stretches of the COVID crash with some added sensitivity from the ongoing Sprint transaction.
TSLA,2020-03-18,16.0,macro_sensitivity,high,medium,No formal Tesla shutdown announcement in prior 3 days. Mar 18 Detroit Three shutting U.S. plants. Materially raised probability Tesla Fremont operations would be constrained,General growth-stock deleveraging. Severe market-wide volatility. Repricing of auto production and distribution shutdown risk plus Tesla high-beta valuation,no,,,Tesla 16% fall was probably not driven by a single company press release but by the market rapidly internalizing that U.S. auto manufacturing was shutting down around it. Once the Detroit automakers halted plants and lockdowns expanded investors could infer heavy risk to Tesla deliveries.
TXN,2020-03-18,5.8,macro_sensitivity,medium,medium,No TXN-specific negative. Reuters described chipmakers suffering one of worst selloffs. Semiconductor-sector demand and supply fears from COVID shutdowns,Industrial and auto end-market exposure especially vulnerable in mid-March 2020,no,,,TI appears to have been sold mostly as part of a semiconductor and cyclical-industrial basket rather than on a fresh company-specific event. As shutdowns spread investors reassessed demand from autos industrials and electronics.
UBER,2020-03-18,21.6,demand_weakness,high,high,Sudden collapse in mobility demand as people stopped traveling commuting and going out. No Uber-specific filing in prior 3 days but environment for ride-hailing deteriorating rapidly,Profitability concerns. Funding-risk fears. General tech and high-beta deleveraging. United said Mar 16 would cut April-May capacity ~50%,no,,,The 21.6% drop fits a business model shock: cities were shutting down airport traffic was evaporating and the core ride-hailing use case was disappearing almost overnight. Even though Uber later disclosed the magnitude more explicitly the March 18 selloff was the market front-running that severe revenue damage.
V,2020-03-18,6.0,macro_sensitivity,high,high,Expected collapse in travel and cross-border payment volumes. No Visa press release in prior 3 days. Reuters later said transaction volumes deteriorated rapidly. BIS cited 19% March 2020 decline in cross-border credit card transactions at Visa,Broad consumer spending fears. Market stress,no,,,Visa stock was effectively repriced for a travel shutdown. The key earnings risk was not domestic card swipes alone but the much more profitable cross-border business and later data showing cross-border volumes down 19% in March indicates the March 18 selloff was directionally correct.
WFC,2020-03-18,5.1,macro_sensitivity,high,high,Bank-sector stress from sudden recession shock and capital preservation moves. Large U.S. banks including Wells halted stock buybacks Mar 15,Near-zero rates. Looming credit losses. General funding and market stress. Bank already carrying idiosyncratic credibility issues pre-COVID,yes,,,Wells Fargo did not have a unique company-specific shock in the window but the sector did: buybacks were halted rates were slashed and investors were rapidly repricing loan losses and profitability.
XOM,2020-03-18,10.0,macro_sensitivity,high,high,Crude-price collapse from oil-price war plus collapsing demand. Reuters: Brent settled .36 on Mar 9 after 24.1% collapse. By Mar 18 still highlighting plunging oil prices,Equity-market deleveraging. Recession fears. Energy equities being repriced for abrupt cash-flow shock,no,,,Exxon drop was not subtle or mysterious: energy equities were being repriced for an abrupt cash-flow shock as oil prices cratered and transportation demand evaporated. The combination of a Saudi-Russia supply war and a pandemic-driven demand collapse made the earnings hit immediate and severe.
