ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
AMAT,2020-09-03,5.6,macro_sensitivity,medium,medium,Broad semiconductor/tech de-risking as Nasdaq plunged nearly 5% on Sept 3,Momentum unwind after strong prior run in chip equipment names,no,,,AMAT's drop fits a high-beta semiconductor unwind with no AMAT-specific negative development in the prior 3 days.
AMD,2020-09-03,8.5,macro_sensitivity,high,medium-high,Broad semiconductor/tech correction as Nasdaq dropped 4.98% on Sept 3,AMD's high valuation and momentum sensitivity made it more vulnerable than slower-growth large caps,no,,,AMD fell harder than the Nasdaq as one of the market's highest-beta semiconductor winners in a crowded growth unwind.
AMGN,2020-09-03,4.0,macro_sensitivity,medium,medium-low,Broad market selloff on Sept 3 rather than a specific Amgen event,Defensive healthcare names sold along with the wider market,no,,,Amgen's decline was correlated with the Sept 3 market break with no meaningful stock-specific catalyst verified.
AMZN,2020-09-03,4.6,macro_sensitivity,medium,high,Broad mega-cap tech selloff on Sept 3 after extended rally in work-from-home/platform winners,Profit-taking after an extended rally with Reuters noting tech still advancing Sept 2,no,,,Amazon was hit as one of the largest pandemic momentum beneficiaries when the crowded tech trade snapped on Sept 3.
BA,2020-09-03,3.4,macro_sensitivity,low,medium,Broad market/cyclical risk-off move on Sept 3,Ongoing 737 MAX uncertainty and weak aviation demand made BA easier to sell into a down tape,yes,,,Boeing's decline was amplified by the unresolved MAX crisis and pandemic-crushed airline demand in a broad risk-off session.
AVGO,2020-09-03,6.1,macro_sensitivity,high,high,Broad semiconductor/tech rout on Sept 3 with possible pre-earnings risk reduction,Broadcom reported AFTER close with above-consensus revenue outlook from data-center and 5G demand,no,,,Broadcom's daytime 6.1% drop was not caused by weak earnings since the post-close report was actually above-consensus on revenue.
CRM,2020-09-03,4.2,macro_sensitivity,medium,high,Broad software/tech selloff on Sept 3 with post-earnings digestion after strong Aug 25 Q2 results,Salesforce revenue rose 29% to $5.15B with raised FY21 guidance but stock was vulnerable to profit-taking,no,,,CRM's decline came a week after strong earnings making it a classic post-earnings profit-taking event inside a broader software selloff.
CSCO,2020-09-03,3.5,macro_sensitivity,low,medium-high,Broad tech unwind on Sept 3 hitting both hardware and software names,General rotation out of large-cap technology after long rally,no,,,Cisco's smaller decline relative to high-beta peers fits market-driven selling rather than a Cisco-specific catalyst.
DHR,2020-09-03,4.3,macro_sensitivity,medium,medium-low,Broad market selloff on Sept 3 pulling healthcare/tools names lower,Healthcare names had rerated higher in 2020 and were subject to profit-taking,no,,,Danaher's decline was driven by general risk reduction with no verified negative company-specific headline.
FDX,2020-09-03,3.0,macro_sensitivity,low,medium-low,Broad market selloff on Sept 3 with mild profit-taking in cyclical/logistics names,FedEx had earnings later in September with no fresh miss or guidance cut in this window,no,,,FDX's modest 3.0% decline was a relatively small part of the Sept 3 drawdown with no company-specific trigger found.
GM,2020-09-03,4.8,macro_sensitivity,medium,medium,Broad cyclical/market selloff on Sept 3 with no GM-specific trigger,Major Nikola partnership came Sept 8 after this drop and auto names were economically sensitive,no,,,GM sold off with other economically sensitive cyclical names as the broader market broke on Sept 3.
GOOG,2020-09-03,5.0,macro_sensitivity,medium,high,Broad mega-cap tech correction on Sept 3 as Nasdaq fell nearly 5%,Rotation out of richly valued growth leaders after record-setting August,no,,,Google traded as part of the crowded mega-cap tech basket that investors suddenly cut exposure to on Sept 3.
GOOGL,2020-09-03,5.1,macro_sensitivity,medium,high,Broad mega-cap tech correction on Sept 3 same as GOOG,Class A and C shares moved together in market-wide tech de-risking,no,,,GOOGL mirrored GOOG in the same basket-driven mega-cap tech selloff with no Alphabet-specific trigger.
HD,2020-09-03,4.4,macro_sensitivity,medium,medium,Broad market selloff on Sept 3 with de-risking in pandemic winners,Housing/home-improvement boom beneficiary exposed to profit-taking,no,,,Home Depot's decline was a valuation/positioning reset in consumer discretionary leaders rather than fresh company news.
BLK,2020-09-03,4.8,macro_sensitivity,medium,medium-high,Broad market selloff on Sept 3 with asset managers naturally sensitive to sharp equity declines,Fee-linked AUM expectations weaken when equity markets fall sharply,no,,,BlackRock's decline was an equity-beta/AUM sensitivity move as major indices sold off hard on Sept 3.
NOW,2020-09-04,3.9,macro_sensitivity,medium,medium-high,Continued software/tech selloff on Sept 4 with weaker macro tone after August payroll report,Reuters noted U.S. job growth losing speed and technology shares slumping,no,,,ServiceNow's decline was day two of the tech unwind with weaker payroll data reinforcing the risk-off mood.
NVDA,2020-09-04,3.0,macro_sensitivity,low,high,Giveback from overextended rally as tech selloff continued into Sept 4,NVDA had just received broker price-target hikes after RTX 30 gaming chip launch making it vulnerable to profit-taking,no,,,Nvidia had positive momentum news right before the drop making the Sept 4 decline look like profit-taking rather than a negative surprise.
LOW,2020-09-04,3.2,macro_sensitivity,low,medium,Broad market/consumer discretionary risk-off on Sept 4 as recovery concerns grew,Profit-taking after strong housing and home-improvement performance,no,,,Lowe's was a pandemic home-improvement winner vulnerable to de-risking as macro enthusiasm cooled on weaker payroll data.
CRM,2020-09-04,3.9,macro_sensitivity,medium,high,Second-day continuation of cloud/software selloff on Sept 4 after strong Aug 25 earnings already priced,Market still under pressure from slumping tech and slower payroll data,no,,,CRM's second straight decline showed valuation and positioning mattered more than recent strong earnings in that tape.
ADBE,2020-09-04,3.1,macro_sensitivity,low,medium-high,Broad software/tech selloff on Sept 4 as Nasdaq decline continued,Multiple compression in premium software names after huge rally,no,,,Adobe's decline fits the Sept 4 software multiple compression pattern with no stock-specific event identified.
