ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
ISRG,2020-03-20,3.4,macro_sensitivity,medium,medium,Anticipation COVID would sharply reduce elective robotic surgeries. No clearly dated company-specific announcement Mar 17-20. Later disclosed COVID-driven deferral had significant negative impact and withdrew 2020 guidance. CA issued statewide stay-at-home Mar 19,Broad risk-off trading into one of worst weeks of 2020 crash,no,,,The stock 3.4% decline looks mostly tied to the market beginning to discount a severe procedure-volume hit not to a fresh March 20 press release. Intuitive later confirmed exactly that pattern saying deferred elective procedures would materially hurt results.
INTU,2020-03-20,6.5,macro_sensitivity,medium,high,STOCK-SPECIFIC. Mar 20 Treasury/IRS extended federal filing deadline to Jul 15 from Apr 15. Directly affected Intuit seasonal TurboTax revenue timing. Later said COVID and filing-delay extension lowered fiscal Q3 results,COVID pressure on small-business customers which Intuit later said began in mid-March,yes,,,This is one of the cleaner names. The March 20 deadline shift pushed the core tax-season monetization window out by three months and Intuit later explicitly said both the IRS extension and weakening small-business trends hurt revenue operating income and EPS versus prior guidance.
HON,2020-03-20,5.4,macro_sensitivity,medium,medium,No fresh Honeywell-specific filing or guidance cut Mar 17-20. Reuters reported coronavirus crisis rocking airlines and planemakers. Aerospace exposure amid airline and planemaker collapse,Broad industrial recession fears. General market liquidation. CA Mar 19 stay-at-home order,no,,,Honeywell drop appears mainly tied to its cyclical aerospace and industrial exposure rather than a company-specific announcement. With airlines slashing schedules and aerospace manufacturing coming under acute pressure investors were repricing HON for a deep multi-segment demand shock.
HD,2020-03-20,5.6,demand_weakness,medium,high,STOCK-SPECIFIC. Home Depot announced Mar 18 stores would temporarily close daily at 6pm and extending paid time off. CA Mar 19 stay-at-home order. COVID operating disruption and uncertainty around store traffic and labor costs,Broad consumer and retail liquidation despite essential-retailer status,yes,,,Unlike later in the pandemic March 20 was still the stage where investors were treating almost all brick-and-mortar retail as operationally impaired. Home Depot reduced hours signaled immediate disruption and new shutdown orders made near-term comps staffing and project demand hard to forecast.
GS,2020-03-20,7.4,macro_sensitivity,high,medium-high,No fresh Goldman-specific corporate announcement Mar 17-20. Goldman publishing increasingly severe macro forecasts. Financial-sector selloff on recession credit and funding-stress fears,Goldman own grim macro outlook. Generalized deleveraging in banks and brokers,no,,,This looks less like issuer news and more like a brutal sector repricing. Investors were discounting collapsing deal activity weaker asset prices funding stress and future credit losses across the banking system and GS fell harder than the index.
GOOGL,2020-03-20,3.9,macro_sensitivity,medium,medium,Expected advertising slowdown as COVID hit brand spending. Google promised nationwide coronavirus info portal was delayed. Later Reuters showed YouTube brand advertising declined in mid-March,Product-execution embarrassment around delayed COVID portal. Broader tech selloff,no,,,The key fundamental issue was ad exposure not search usage. As the economy shut down brand advertisers pulled back sharply and Reuters later reported Alphabet specifically saw YouTube brand advertising weaken in mid-March.
IBM,2020-03-20,4.9,no_clear_catalyst,low,medium-low,No clearly dated IBM-specific release Mar 17-20. Concern global lockdowns would hurt enterprise spending consulting and large IT projects. IBM integrating Red Hat and carrying elevated debt,Balance-sheet concerns after Red Hat deal. Marketwide liquidation,no,,,There does not appear to have been a fresh IBM-specific bombshell in the prior three days. The stock likely traded down on the view that recession and lockdowns would delay customer projects and pressure legacy services demand.
GILD,2020-03-20,6.7,no_clear_catalyst,low,low-medium,No negative Gilead-specific Reuters item Mar 17-20. Remdesivir increasingly viewed as potential COVID treatment. No clear fresh negative — likely reversal and profit-taking after prior remdesivir strength plus market stress,Healthcare sold off too on March 20 despite defensive status,no,,,This is not a case where a crisp bad-news catalyst was found. The better interpretation is that GILD after being treated as a COVID-treatment beneficiary still got caught in a sharp liquidation day and likely saw some unwinding of earlier defensive and therapeutic positioning.
GD,2020-03-20,3.4,macro_sensitivity,medium,medium-low,No fresh General Dynamics-specific Mar 17-20 release. Defense and business-jet sentiment deteriorated. Reuters and Defense News documented growing concern about defense-industrial-base disruption. Defense and business-jet demand and supply-chain worries,Broad industrial selloff,no,,,GD decline looks more like a sector repricing than a stock-specific event. The market was beginning to price operational disruptions across the defense supply chain and severe weakness in business aviation both relevant to General Dynamics.
EMR,2020-03-20,4.2,macro_sensitivity,low,medium-low,No fresh Emerson-specific announcement Mar 17-20. Meaningful exposure to industrial capex and energy markets under severe pressure. Industrial and energy end-market recession fears,General market liquidation,no,,,This looks like a cyclical industrial repricing rather than a discrete company event. By March 20 investors were assuming a deep freeze in capital spending across manufacturing and energy which directly threatened Emerson automation and industrial businesses.
