ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
MCD,2020-03-23,7.7,demand_weakness,high,high,STOCK-SPECIFIC context. McDonald's said would close dine-in seating at many U.S. stores shifting to takeout drive-thru delivery. Reuters later reported menu simplification. Direct COVID hit to restaurant operations and traffic,Fear of lower franchisee economics. Reduced urban foot traffic. Recession risk for discretionary dining,yes,,,The clearest company-specific trigger was the March 16 Reuters report that McDonald's was closing dine-in areas across many U.S. restaurants leaving only take-away drive-thru and delivery. For a company whose valuation depended on steady system sales and franchise rent and royalty streams that sharply raised near-term revenue and margin risk.
ORCL,2020-03-23,3.2,no_clear_catalyst,low,medium-low,No strong Oracle-specific negative Mar 20-22. Later Mar 30 Oracle warned COVID-19 could affect its largest revenue quarter. Broad enterprise software and macro de-risking,Concern customers would delay IT spending and quarter-end deal activity could slow under lockdowns,no,,,Oracle had no obvious company-specific shock in the March 20-22 window. The most plausible explanation is investors preemptively discounting slower license services and large-enterprise contract activity as COVID disrupted corporate buying.
MMM,2020-03-23,5.6,macro_sensitivity,medium,medium,No clean company-specific negative. News flow dominated by surging N95 mask demand. Industrial recession fears overwhelming otherwise positive respirator narrative,Supply-chain uncertainty. Litigation and distribution noise around masks. Concern industrial and end-market weakness would dominate temporary PPE upside,no,,,Even though 3M had visible tailwinds from respirator demand investors in late March 2020 were pricing a brutal global industrial downturn. The 5.6% drop is best explained by concern that broad exposure to manufacturing electronics auto and capital spending would more than offset the temporary boost from N95 demand.
PG,2020-03-23,4.6,no_clear_catalyst,low,medium-low,No verified PG-specific negative event Mar 20-22. Later reporting showed pandemic demand for cleaning products was tailwind. Supply-chain stress and PG large supplier exposure in China. Marketwide liquidation and supply-chain concern,Fear stockpiling would be offset by production bottlenecks logistics disruption and retailer restocking volatility,no,,,Procter & Gamble should have been relatively defensive fundamentally but March 2020 selling frequently ignored defensiveness in favor of raising cash. The best explanation is that investors were weighing higher cleaning-product demand against supply-chain strain and a global recession.
USB,2020-03-23,11.2,macro_sensitivity,high,high,STOCK-SPECIFIC context. U.S. Bancorp announced Mar 15 would temporarily suspend share buyback for rest of Q1 and Q2 2020. Reuters: major U.S. banks halting buybacks. Bank capital preservation and recession-driven credit-loss fears,Expected reserve builds. Pressure from collapsing rates. Concern over corporate credit-line drawdowns,yes,,,USB 11.2% drop fits a very bank-specific stress pattern rather than a generic market move. The company had already suspended repurchases and Reuters also reported that big banks were pulling back buybacks as they prepared to support customers and absorb a likely wave of credit losses.
SCHW,2020-03-23,7.3,macro_sensitivity,medium,medium,No strong Reuters ticker-specific negative Mar 20-22. Severe pressure on financials from zero rates credit stress and capital-preservation moves. Financial-sector stress especially earnings impact of near-zero rates on net interest revenue,Fear around broker and bank hybrid balance-sheet exposure. Merger-integration uncertainty with TD Ameritrade. Broad market deleveraging,no,,,Schwab was unusually exposed to the Fed emergency rate cuts because lower short-term rates hurt sweep-cash and banking-related net interest revenue. Even massive client trading activity was not enough to offset investor concern that the firm earnings model would weaken materially.
SO,2020-03-23,6.8,no_clear_catalyst,low,medium-low,No validated Southern Company-specific negative Mar 20-22. Utility policies around not disconnecting customers raised cash-flow and bad-debt concerns. Utility-specific cash-flow concerns tied to pandemic billing relief and economic stress,General defensive-stock liquidation. Concern about financing conditions in stressed credit markets,no,,,Utilities were normally defensive but by late March investors were starting to worry that moratoriums on shutoffs and recession-driven nonpayment would weaken near-term collections. For Southern the absence of a clean company-specific catalyst suggests the drop was mainly a utility-sector repricing.
T,2020-03-23,5.9,macro_sensitivity,medium,medium,No strong Reuters AT&T-specific item Mar 20-22. Later reporting showed pandemic hurt handset upgrades bad-debt expectations and WarnerMedia revenues. Anticipated COVID disruption to WarnerMedia retail wireless activity and consumer collections,Heavy debt load. Fear recession would pressure advertising roaming and premium TV trends. Later April earnings commentary showed March equipment revenues down nearly 25% and AT&T took $250M reserve,no,,,AT&T decline likely reflected investors looking through the nominal defensiveness of telecom service revenue and focusing instead on its more cyclical pieces: media production and theatrical disruption lower device upgrades and rising bad-debt risk.
TMO,2020-03-23,8.3,demand_weakness,high,high,STOCK-SPECIFIC. Mar 23 Thermo Fisher disclosed COVID-19 was having and would continue to have adverse impact on operations and supply chains. Demand for certain products seeing significant and unpredictable swings,Investor uncertainty whether testing-related upside could offset broad laboratory and industrial disruption. Earlier Qiagen acquisition overhang,yes,,,TMO had both upside and downside COVID exposure but the March 23 Reuters item was directly negative: the company said the pandemic was disrupting operations and supply chains and causing unpredictable demand swings. That was a concrete same-day company-specific disclosure.
UNH,2020-03-23,5.7,no_clear_catalyst,low,medium-low,No major UnitedHealth-specific negative Mar 20-23. Later Reuters analysis suggested insurers actually benefited near term from deferred elective care. General healthcare and managed-care uncertainty during first COVID wave,Fear of testing and treatment cost exposure. Policy risk. Broad de-risking across large-cap defensives,no,,,On March 23 investors still had very poor visibility into whether insurers would be hurt by COVID treatment costs or helped by canceled elective procedures. In hindsight Reuters reported the latter effect was favorable so the 5.7% decline looks more like uncertainty compression and marketwide liquidation.
UNP,2020-03-23,3.2,macro_sensitivity,medium,medium,No negative Union Pacific item in exact prior 3-day window. Reuters later reported UNP withdrew 2020 volume and operating-ratio forecasts because business shutdowns weighing on economy. Anticipated freight-volume decline from nationwide shutdowns,Industrial recession fears. Weaker intermodal volumes. Concern over coal and energy-related shipments,no,,,The market was clearly beginning to discount a sharp contraction in freight demand as factories retailers and industrial customers shut down. Reuters later report that Union Pacific pulled its full-year operating and volume outlook is consistent with what investors were already pricing on March 23.
V,2020-03-23,7.6,macro_sensitivity,high,high,No Visa-specific negative Reuters report Mar 20-22. Reuters reported one week later transaction volumes being hurt as coronavirus crisis battered spending. Collapse in cross-border and travel-related payments volume,Broader consumer-spending fears. Uncertainty around merchant closures worldwide,no,,,Visa business is highly sensitive to payment volumes especially lucrative cross-border travel spending. Even before the company formally quantified the hit on March 30 investors by March 23 were already pricing a sudden collapse in travel and a broad consumer-spending slowdown.
WFC,2020-03-23,4.7,macro_sensitivity,high,high,Reuters reported big U.S. banks halting stock buybacks. Companies drawing on credit lines as markets seized up. Wells directly exposed to same banking-stress setup. Banking-sector stress around reserves capital returns and credit losses,Ultra-low rates. Recession fears. Wells already weaker strategic position relative to peers,yes,,,There was not a unique Wells-specific bombshell in the prior 3 days but the bank was caught in a very bank-specific negative news cycle: buybacks were being stopped credit lines were being pulled by nervous corporates and markets were bracing for large loan-loss reserves.
XOM,2020-03-23,3.9,macro_sensitivity,high,high,March 2020 oil-price collapse tied to Saudi-Russia price war and simultaneous COVID demand shock. Reuters later reported Exxon cut 2020 spending by 30%. Oil-demand destruction plus Saudi-Russia price war,Fear of dividend strain. Capex cuts. Recession-driven fuel demand collapse,no,,,Exxon did not need a fresh company-specific headline for investors to sell it on March 23. Crude fundamentals were deteriorating violently as transport demand evaporated and the price war flooded the market. Reuters later report that Exxon slashed spending by 30% underscores how severe the shock was.
MA,2020-03-23,3.8,macro_sensitivity,high,medium-high,No Mastercard-specific Reuters item Mar 20-22. Reuters Mar 30 reporting showed Visa transaction volumes hit by pandemic. Mastercard shared same core exposure especially cross-border travel. Payment-volume and cross-border travel concerns,Merchant closures. Weaker discretionary spend. General financials and consumer de-risking,no,,,Mastercard March 23 decline is best explained by the same mechanism hitting Visa: a rapid decline in consumer and especially travel-related spending. The lack of a clear company-specific negative headline suggests the move was driven by investors repricing the payment-network model for a near-instant stop in global travel.
